generated_at_utc,state,action,fgi,price,price_confirm_4h,new_local_low_4h,oi_regime,oi_delta_24h,stop_atr,quality_coverage_pct,quality_status,why
2026-09-12T15:59:23.903382+00:00,NO_TRADE,DO NOT CHASE,63.0,77354.4,False,False,STABLE,0.0038847712888310237,2.082236622352859,100.0,DATA READY,Crowd is in Greed zone | MVP seeks asymmetric fear entries | New long lacks crowd discount
2026-09-12T16:21:16.647538+00:00,NO_TRADE,DO NOT CHASE,63.0,77385.2,False,False,STABLE,-0.0009079442034923835,2.171205705563259,100.0,DATA READY,Crowd is in Greed zone | MVP seeks asymmetric fear entries | New long lacks crowd discount
2026-09-12T20:22:11.629468+00:00,NO_TRADE,DO NOT CHASE,63.0,77119.3,False,False,STABLE,0.015667655909345823,0.7931988512992891,100.0,DATA READY,Crowd is in Greed zone | MVP seeks asymmetric fear entries | New long lacks crowd discount
